pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2022000760,1,1,2,504,,,9999,,,,,,12,2022,10,56,4,1,7,3,2,3,0,1,1,2,1,1,1,1,9,9,9,0,0,9,2,24,241,99,27,2,219857,752792
2022000766,1,1,2,2530,143,,15,,,,,,52,2022,5,82,4,5,7,2,1,3,0,1,1,2,4,3,1,1,9,9,9,0,0,9,4,43,432,0,16,1,184423,649047
2022000776,1,1,3,0,,,,,75,77,327,3698,14,2022,5,74,4,1,6,2,2,0,3,5,1,4,3,1,1,1,9,9,9,0,0,9,2,23,235,99,99,1,214907,734857
2022000778,1,1,2,2650,349,,19,,,,,,20,2022,4,35,4,1,3,3,1,3,0,1,1,2,3,1,1,1,9,9,9,3,3,1,5,51,511,0,16,1,186886,670694
2022000797,1,1,3,0,,,,,4,481,1191,321,20,2022,2,2,4,5,3,3,1,0,5,1,1,3,3,3,1,1,9,9,9,3,3,1,4,42,422,99,99,1,185606,666626
2022000820,1,1,1,2550,105,113,,210001,,,,,52,2022,9,79,4,5,2,3,1,3,0,1,1,4,3,3,1,1,9,9,9,1,3,9,4,44,441,99,16,1,178778,636277
2022000828,1,1,3,0,,,,,35,3540,194,3408,38,2022,10,92,4,5,5,3,2,0,3,4,1,5,3,3,1,1,9,9,9,0,0,9,6,61,612,99,99,1,179819,612969
2022000832,1,1,1,3000,703,714,,12030147,,,,,61,2022,6,62,4,1,5,3,1,2,0,1,1,2,3,1,1,1,9,9,9,3,3,1,1,11,111,0,12,1,220204,631827
2022000844,1,1,2,6000,6722,,9999,,,,,,12,2022,1,57,4,1,7,3,5,3,0,1,1,4,3,1,1,2,9,9,9,0,0,9,3,32,324,0,26,2,203596,704449
2022000868,1,1,2,8200,199,,18,,,,,,12,2022,1,78,4,5,1,3,1,3,0,1,1,2,3,3,1,2,9,9,9,3,3,2,3,31,311,0,16,1,208365,749461
2022000869,1,1,1,7900,424,612,,17400001,,,,,51,2022,8,63,4,1,5,3,2,0,2,3,1,5,3,1,1,1,9,9,9,0,0,9,4,42,422,0,13,1,191053,664490
2022000873,1,1,2,2400,216,,79,,,,,,20,2022,11,68,4,5,5,2,1,3,0,1,1,3,3,10,1,1,9,9,9,3,3,9,5,51,512,0,16,1,186285,659248
2022000878,1,1,1,3000,4762,4786,,28680721,,,,,61,2022,12,24,4,5,6,3,2,9,0,6,1,4,3,6,9,5,9,9,9,0,0,9,1,11,111,0,12,1,222169,636285
2022000906,1,1,2,1112,,,9999,,,,,,12,2022,12,67,4,5,5,3,10,3,0,1,1,1,3,4,1,1,9,9,9,0,0,9,2,24,241,56,32,2,225773,749208
2022000909,1,1,1,70,195,182,,20012,,,,,38,2022,4,64,3,1,2,3,2,3,0,1,1,3,3,1,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167347,633842
2022000941,1,2,3,0,,,,,1,0,760,9405,43,2022,1,49,4,1,4,3,2,0,2,4,0,4,3,1,1,1,9,9,9,0,0,9,7,77,777,99,99,1,229628,634112
2022000942,1,1,2,3000,944,,43,,,,,,61,2022,6,56,4,1,5,2,1,3,0,1,1,2,3,1,1,1,9,9,9,1,2,2,1,11,111,0,12,1,219003,633750
2022000948,1,1,1,6100,807,811,,680042,,,,,20,2022,9,71,4,1,5,3,1,3,0,1,1,2,3,11,1,1,9,9,9,0,0,9,5,51,512,0,13,1,185141,664443
2022000950,1,1,3,0,,,,,70,780,463,1207,12,2022,5,71,4,1,1,3,3,3,0,5,1,4,3,1,1,1,9,9,9,0,0,9,3,31,311,99,99,1,209865,741471
2022000962,1,1,2,5000,1979,,30,,,,,,20,2022,4,55,3,1,3,3,4,0,1,1,1,1,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177305,662150
